model,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std
LogisticRegression,0.9482692373666335,0.0033393756403825568,0.5855071118543652,0.03845755154148741
GradientBoosting,0.9438561747011438,0.00458665013784541,0.572436598800594,0.03323430994949552
RandomForest,0.9401476426760313,0.0048877534859725225,0.5417961334125264,0.043250670738130305
